street,district,rooms,area,price,material,condition,year_built,total_floors
Ravi 9,Kesklinn,3.0,71.0,187000,kivimaja,renoveeritud,2003.0,5.0
Järveotsa tee 11,Haabersti,3.0,65.5,96500,paneelmaja,keskmises seisukorras,1977.0,9.0
Järve 2-183,Kristiine,2.0,43.8,125000,paneelmaja,uus,2020.0,18.0
Sõle 75,Põhja-Tallinn,4.0,95.4,185000,kivimaja,renoveeritud,1952.0,3.0
Maisi tn 4a,Põhja-Tallinn,3.0,66.5,180000,kivimaja,renoveeritud,1929.0,3.0
Loitsu 6,Lasnamäe,1.0,32.8,62000,paneelmaja,renoveeritud,1981.0,5.0
Vikerlase 6,Lasnamäe,3.0,66.7,96000,paneelmaja,renoveeritud,1980.0,5.0
Sinimäe 5,Lasnamäe,3.0,69.5,110000,paneelmaja,renoveeritud,1990.0,17.0
Mahtra 38,Lasnamäe,3.0,64.8,87000,paneelmaja,renoveeritud,1982.0,9.0
Gonsiori 17,Kesklinn,4.0,100.8,229000,kivimaja,heas korras,1939.0,5.0
Järveotsa tee 27,Haabersti,3.0,65.4,90000,paneelmaja,renoveeritud,1979.0,9.0
Kiikri 2C-95,Kesklinn,4.0,89.5,379000,kivimaja,uus,2019.0,4.0
Seebi 30,Kristiine,2.0,38.5,88500,kivimaja,renoveeritud,1974.0,5.0
Tammsaare 139,Mustamäe,3.0,63.3,109998,kivimaja,heas korras,1981.0,15.0
Pärnu mnt 110,Kesklinn,2.0,46.6,139000,kivimaja,renoveeritud,2006.0,15.0
Tuukri 1B,Kesklinn,3.0,211.9,222000,kivimaja,uus,2017.0,6.0
Paepargi 50/2-13,Lasnamäe,2.0,58.8,122500,paneelmaja,uus,2020.0,8.0
Valdeku 102,Nõmme,3.0,66.1,97000,kivimaja,heas korras,1973.0,5.0
Tuukri 25-1,Kadriorg,3.0,77.9,229000,kivimaja,uus,2021.0,5.0
Kaubamaja 4,Kesklinn,2.0,59.9,152900,kivimaja,heas korras,1959.0,6.0
Järve 2-144,Kristiine,3.0,68.0,194800,paneelmaja,uus,2020.0,18.0
Puuvilla 8,Põhja-Tallinn,3.0,63.3,89000,kivimaja,vajab san. remonti,1982.0,5.0
Uus-Tatari 12,Kesklinn,2.0,51.7,170000,kivimaja,heas korras,2014.0,5.0
Merivälja tee 5,Pirita,3.0,107.0,264900,kivimaja,renoveeritud,2007.0,5.0
Vesivärava 50,Kesklinn,2.0,60.8,132500,kivimaja,uus,2019.0,8.0
Tõnismägi 11a-27,Kesklinn,2.0,61.0,199000,kivimaja,uus,2019.0,7.0
Fr.Faehlmanni,Kesklinn,3.0,61.6,145000,puitmaja,renoveeritud,1923.0,3.0
Seebi tn 1-206,Kesklinn,2.0,68.6,214900,kivimaja,uus,2020.0,20.0
Idakaare 2a-2,Nõmme,4.0,109.1,382000,kivimaja,uus,2020.0,3.0
