street,district,rooms,area,price,price_m2,material,condition,year_built,age,floor,total_floors
Koidu 87,Kesklinn,2,45,128000,2844,kivimaja,renoveeritud,1952,67,4,4
Paepargi 50/1-34,Lasnamäe,3,67.1,150500,2243,-,uus,2020,0,8,14
Virbi 2,Lasnamäe,2,49,82000,1673,paneelmaja,keskmises seisukorras,-,-,5,9
Seebi tn 1-709,Kristiine,3,69.1,261900,3790,kivimaja,uus,2020,0,7,20
Sõstra tn 6,Kristiine,1,34,69900,2056,paneelmaja,heas korras,-,-,9,6
Idakaare 2a-5,Nõmme,5,125.9,485000,3852,kivimaja,uus,2020,0,3,3
Katusepapi 16,Kesklinn,2,43.6,120000,2752,kivimaja,uus,2019,0,3,4
Poordi 3-53,Kesklinn,3,112,339000,3027,kivimaja,uus,2017,2,3,7
F. R. Kreutzwaldi 4,Kesklinn,4,109.9,320000,2912,paneelmaja,renoveeritud,1994,25,6,7
Falgi tee 6-10,Kesklinn,3,61.4,149900,2442,palkmaja,uus,2018,1,2,3
Vikerlase 13,Lasnamäe,3,64.8,86500,1335,paneelmaja,heas korras,-,-,3,9
Rõugu 22-11,Haabersti,2,42.2,101900,2415,kivimaja,uus,2020,0,2,4
Nunne 1,Vanalinn,4,160.7,400000,2489,-,-,-,-,1600,-
Liikuri 5-2,Lasnamäe,2,46.8,98000,2094,paneelmaja,uus,2020,0,1,8
F. R. Kreutzwaldi tn 3,Kesklinn,2,61.9,181000,2924,kivimaja,uus,2014,5,4,7
Läänemere tee 22,Lasnamäe,1,32.9,73000,2219,-,-,1989,30,5,5
Liikuri tn. 32,Lasnamäe,1,37,67000,1811,kivimaja,heas korras,1991,28,5,5
Sõle 55,Põhja-Tallinn,4,75.8,145000,1913,kivimaja,vajab renoveerimist,1989,30,3,5
Raua 63-1,Kadriorg,4,125,354000,2832,puitmaja,uus,2019,0,1,3
Järve 2-157,Kristiine,2,58.4,158200,2709,paneelmaja,uus,2020,0,8,18
Paekalda 24a-26,Lasnamäe,3,89.8,189000,2105,-,uus,2020,0,5,5
Vabaõhumuuseumi tee 1-21,Haabersti,3,98.3,321500,3271,-,uus,2017,2,6,8
Tindi 4,Haabersti,4,86.2,206000,2390,kivimaja,uus,2015,4,2,3
Männiku 103,Nõmme,3,50,99900,1998,kivimaja,renoveeritud,1980,39,1,3
Kalaranna tn 8/2 -13,Põhja-Tallinn,3,76,289900,3814,paneelmaja,uus,-,-,3,5
Paepargi 50/1-45,Lasnamäe,3,63.8,143500,2249,paneelmaja,uus,2020,0,10,14
Merirahu 2,Haabersti,3,61,163000,2672,kivimaja,uus,2007,12,1,4
Lasnamäe tn 16,Lasnamäe,3,66.1,169000,2557,kivimaja,uus,2019,0,4,6
Mustamäe tee 80,Mustamäe,3,66.8,95000,1422,paneelmaja,renoveeritud,1973,46,6,9
Vene tn 19,Vanalinn,4,127,299999,2362,kivimaja,renoveeritud,-,-,4,4
Sitsi 15,Põhja-Tallinn,2,43.6,67000,1537,puitmaja,keskmises seisukorras,1952,67,2,3
Kauba 26,Kesklinn,1,22.1,52000,2353,puitmaja,renoveeritud,1915,104,1,2
Ehitajate tee 66,Mustamäe,2,43.9,79800,1818,paneelmaja,renoveeritud,-,-,1,5
J. Sütiste tee 3,Mustamäe,2,43.3,81500,1882,kivimaja,san. remont tehtud,1971,48,1,9
Tagala 10-42,Haabersti,3,71,132000,1859,kivimaja,uus,2019,0,2,4
Toom-Kuninga 15-93,Kesklinn,3,63.3,205000,3239,paneelmaja,uus,2020,0,6,8
Mündi 2,Kesklinn,3,197.2,840000,4260,kivimaja,renoveeritud,-,-,5,5
Lõime 20,Põhja-Tallinn,1,12.5,21875,1750,kivimaja,renoveeritud,1953,66,2,4
L.Koidula 10a,Kadriorg,2,45.1,147000,3259,puitmaja,-,1917,102,1,2
Pöörise 10-58,Mustamäe,1,33.6,74000,2202,paneelmaja,uus,2019,0,11,14
Sütiste tee 35,Mustamäe,2,43,84500,1965,paneelmaja,renoveeritud,-,-,3,9
Kalaranna 8/10-17,Põhja-Tallinn,3,87.5,398000,4549,paneelmaja,uus,-,-,4,5
Liikuri 18c-36,Lasnamäe,2,42.8,103790,2425,kivimaja,uus,2020,0,2,7
Komeedi 4,Kesklinn,2,41.5,105000,2530,kivimaja,renoveeritud,1962,57,4,5
Vene 19,Vanalinn,4,127,299900,2361,kivimaja,renoveeritud,-,-,4,4
Põhja pst 5,Põhja-Tallinn,2,44.6,150000,3363,kivimaja,uus,2015,4,4,6
Järve 2-151,Kristiine,2,58.4,156300,2676,paneelmaja,uus,2020,0,7,18
Tondi tn 51,Kristiine,3,76.8,189000,2461,-,renoveeritud,1903,116,,-
Jahu 5-16,Põhja-Tallinn,4,100.6,371900,3697,kivimaja,uus,2020,0,2,3
Odra 12/1-13,Kesklinn,3,67,194000,2896,kivimaja,uus,2017,2,5,5
Tagala 10-22,Haabersti,3,71,135000,1901,kivimaja,uus,2019,0,3,4
Valge 6A/2-9,Lasnamäe,3,59.2,155000,2618,kivimaja,uus,2020,0,2,4
Virmalise tn 24/26,Kesklinn,3,63.6,125000,1965,-,-,-,-,2,-
Järve 2-135,Kristiine,3,65.2,179400,2752,paneelmaja,uus,2019,0,5,18
Läänemere tee 70,Lasnamäe,,12.5,4500,360,kivimaja,uus,2009,10,,-
Noole 2,Põhja-Tallinn,3,56.6,125000,2208,kivimaja,vajab renoveerimist,1935,84,1,4
Vanakuu 1,Haabersti,3,64.9,153000,2357,kivimaja,uus,2016,3,4,4
Vana-Kalamaja 6-1,Põhja-Tallinn,3,59,209000,3542,kivimaja,uus,2019,0,2,4
Kari 24-7,Põhja-Tallinn,2,58.7,130900,2230,kivimaja,uus,2018,1,3,5
Paepargi 50/1,Lasnamäe,3,66.1,148500,2247,paneelmaja,uus,2020,0,5,14
Järve 2-163,Kristiine,3,68,192600,2832,paneelmaja,uus,2020,0,9,18
Sõstra tn 3,Kristiine,2,45.2,78000,1726,paneelmaja,-,1974,45,2,9
Mustamäe tee 149,Mustamäe,3,60.4,96000,1589,paneelmaja,heas korras,1963,56,2,9
Kalevi 22,Põhja-Tallinn,4,89.2,180000,2018,puitmaja,renoveeritud,1890,129,1,2
Hiiu-Maleva 17,Nõmme,3,55.9,107000,1914,palkmaja,-,1942,77,1,2
Lõime 30,Põhja-Tallinn,2,37,74999,2027,-,heas korras,-,-,4,4
Veerenni 36a/3-8,Kesklinn,4,118.3,354900,3000,paneelmaja,uus,2020,0,2,3
Mäepealse 24,Mustamäe,3,64,136500,2133,paneelmaja,heas korras,2011,8,3,6
Lai tn 9,Vanalinn,3,157.6,550000,3490,kivimaja,renoveeritud,-,-,1,3
Raua 43,Kadriorg,7,186,299000,1608,puitmaja,renoveeritud,-,-,1,3
Side 25,Nõmme,2,41.6,98000,2356,puitmaja,renoveeritud,1930,89,1,2
Järve 2-192,Kristiine,2,58.1,172800,2974,paneelmaja,uus,2020,0,13,18
Juurdeveo 8-10,Kesklinn,3,72.8,232960,3200,kivimaja,uus,2020,0,4,4
Maneeži 8,Kesklinn,3,59,169000,2864,kivimaja,renoveeritud,1954,65,1,4
Tammsaare tee 83,Mustamäe,1,27.9,63000,2258,kivimaja,-,1969,50,4,5
Peterburi tee 13,Lasnamäe,3,61.8,130000,2104,kivimaja,heas korras,-,-,2,3
Kalevi 18,Põhja-Tallinn,3,65.4,190000,2905,palkmaja,keskmises seisukorras,-,-,1,2
Vääna 4,Nõmme,2,41.9,85000,2029,puitmaja,-,1924,95,2,2
Pirita tee 26,Pirita,5,201.7,1250000,6197,kivimaja,uus,2015,4,9,9
Magasini 2b,Kesklinn,6,100,179000,1790,puitmaja,vajab renoveerimist,-,-,1,2
Päevalille 4-86,Haabersti,3,62.2,164900,2651,paneelmaja,uus,2020,0,12,15
Seebi tn 1-610,Kristiine,3,69.6,228900,3289,kivimaja,uus,2020,0,6,20
Vanakuu 6,Haabersti,2,46,119500,2598,kivimaja,uus,2017,2,1,4
Randla 13,Põhja-Tallinn,1,22.2,28000,1261,kivimaja,heas korras,1979,40,9,9
Sõle 27c-11,Põhja-Tallinn,2,51.6,107000,2074,kivimaja,heas korras,2003,16,4,4
Paul Pinna 17,Lasnamäe,1,36.1,59000,1634,paneelmaja,vajab renoveerimist,1980,39,1,5
Vikerlase 26,Lasnamäe,4,66.7,103900,1558,paneelmaja,renoveeritud,1981,38,1,5
Merekalju tänav 5-1,Haabersti,4,92.4,299000,3236,kivimaja,uus,2020,0,1,3
Järve 2-166,Kristiine,3,65.4,184300,2818,paneelmaja,uus,2020,0,10,18
Kaaruti 5-7,Haabersti,1,34.1,80900,2372,paneelmaja,uus,2020,0,2,4
Kuninga 1,Vanalinn,3,140.9,330000,2342,kivimaja,renoveeritud,38,1981,4,4
Järve 2-141,Kristiine,3,65.2,159000,2439,paneelmaja,uus,2020,0,6,18
Siidisaba 11b,Kristiine,4,109.1,209000,1916,kivimaja,renoveeritud,2005,14,3,3
Jahu 6-6/1-63,Põhja-Tallinn,2,64.4,208000,3230,paneelmaja,uus,2019,0,4,-
Heli 7/1-32,Mustamäe,4,75.5,175100,2319,-,uus,2020,0,7,-
Paepargi 50/1,Lasnamäe,3,67.1,157500,2347,paneelmaja,uus,2020,0,11,14
Paepargi 50/1-41,Lasnamäe,3,66,155000,2348,paneelmaja,uus,2020,0,10,14
Tedre 77,Kristiine,2,43.5,92900,2136,paneelmaja,renoveeritud,1973,46,5,5
Jahu 6-6/1-57,Põhja-Tallinn,1,31.7,148000,4669,paneelmaja,uus,2019,0,3,-
Jalami tn 1-83,Haabersti,3,85.8,163900,1910,paneelmaja,uus,2019,0,7,8
Jaama 1,Nõmme,4,94.6,215000,2273,-,-,1939,80,3,5
Tammsaare 123,Mustamäe,2,43.7,70000,1602,paneelmaja,-,1967,52,2,5
Faehlmanni 24/2,Kadriorg,2,62.9,184500,2933,palkmaja,renoveeritud,-,-,2,2
Lesta tn 10/3-39,Haabersti,3,103.5,341550,3300,paneelmaja,uus,2019,0,2,3
Joa 9-10,Kesklinn,3,73.7,199000,2700,-,uus,2018,1,3,4
Tööstuse 31a-18,Põhja-Tallinn,4,100.1,275000,2747,kivimaja,uus,2018,1,4,4
Järve 2-213,Kristiine,2,58.1,172800,2974,paneelmaja,uus,2020,0,12,18
Kadaka pst 169A,Mustamäe,3,66.8,135000,2021,paneelmaja,uus,2004,15,7,7
Ilmarise 21,Nõmme,3,66.2,129900,1962,kivimaja,renoveeritud,1972,47,4,6
Keemia tn 11,Kristiine,8,244.7,185000,756,-,vajab san. remonti,-,-,5,5
Lasnamäe tn 16,Kesklinn,4,104.1,260000,2498,kivimaja,uus,2019,0,2,6
Asunduse 15,Lasnamäe,5,111.8,190000,1699,kivimaja,uus,1973,46,1,6
Jahu 5-20,Põhja-Tallinn,1,21.4,110900,5182,kivimaja,uus,2020,0,3,3
Kuukressi tee 3-9,Pirita,2,54.1,129000,2384,paneelmaja,uus,2020,0,3,3
Suur-Karja tn 2,Vanalinn,3,107.7,392000,3640,kivimaja,renoveeritud,1793,226,3,5
A.H. Tammsaare tee 89a-33,Mustamäe,3,61.8,147500,2387,-,uus,2019,0,2,6
Kuninga tn 1,Vanalinn,3,129.2,490000,3793,kivimaja,renoveeritud,1451,568,2,3
AIA 8,Vanalinn,4,94,220000,2340,kivimaja,renoveeritud,-,-,1,3
Uus-Maleva 2,Põhja-Tallinn,2,40.5,68000,1679,kivimaja,heas korras,-,-,5,5
Sanatooriumi 2a,Nõmme,4,85.6,189900,2218,kivimaja,uus,2009,10,1,3
Kärberi 50,Lasnamäe,2,50,80000,1600,paneelmaja,renoveeritud,-,-,1,9
Lai 2,Kesklinn,2,65,247000,3800,kivimaja,renoveeritud,-,-,2,5
Tagala 10-3,Haabersti,3,71,130000,1831,kivimaja,uus,2019,0,1,4
Õismäe tee 1,Haabersti,1,33,60000,1818,paneelmaja,san. remont tehtud,1975,44,5,5
Soodi 4-16,Põhja-Tallinn,3,73.2,190900,2608,kivimaja,uus,2020,0,3,5
C. R. Jakobsoni tn 13-7,Kesklinn,4,95.1,251000,2639,kivimaja,uus,-,-,2,6
Peterburi tee 28,Lasnamäe,3,60.9,83500,1371,paneelmaja,vajab san. remonti,-,-,5,5
Ehitajate tee 91/2-47,Mustamäe,2,36.5,97000,2658,kivimaja,uus,2020,0,7,8
Jahu 5-4,Kesklinn,3,73.9,269900,3652,kivimaja,uus,2020,0,1,3
Läänemere tee 6,Lasnamäe,3,54,110000,2037,paneelmaja,renoveeritud,1989,30,1,5
Kanepi 3,Põhja-Tallinn,3,60.5,115000,1901,kivimaja,renoveeritud,1959,60,1,3
Õismäe tee 126,Haabersti,3,65.5,109000,1664,paneelmaja,renoveeritud,1976,43,4,9
Punane 33,Lasnamäe,2,49.7,81000,1630,paneelmaja,san. remont tehtud,-,-,,-
Köleri 16b,Kesklinn,4,100.8,335000,3323,puitmaja,renoveeritud,2017,2,,-
Tagala 10-21,Haabersti,3,66.8,129000,1931,kivimaja,uus,2019,0,3,4
Paekalda 24a-2,Lasnamäe,2,57.9,137000,2366,-,uus,2020,0,2,5
Ümera 12,Lasnamäe,1,32.7,62000,1896,paneelmaja,heas korras,1983,36,3,5
Gonsiori 29-69,Kesklinn,1,27.5,95900,3487,kivimaja,uus,2019,0,1,6
Soodi 4,Haabersti,4,97.2,238000,2449,kivimaja,uus,2020,0,2,5
Lesta tn 10/3-32,Haabersti,4,109.5,416100,3800,paneelmaja,uus,2019,0,1,3
Masti 4,Pirita,3,117,220000,1880,kivimaja,renoveeritud,2000,19,1,4
Lasnamäe tn 36,Lasnamäe,2,39.8,77000,1935,kivimaja,renoveeritud,-,-,2,4
J. Poska tn 11,Kadriorg,3,90.6,297000,3278,kivimaja,-,2014,5,2,3
Köleri 14a,Kadriorg,2,57.3,165000,2880,puitmaja,renoveeritud,2012,7,3,3
Valguta tee 16,Pirita,2,43.7,111000,2540,kivimaja,heas korras,2005,14,2,3
Pöörise 7-24,Mustamäe,3,52.5,118000,2248,paneelmaja,uus,2020,0,4,14
Valge 6A/2-6,Lasnamäe,3,59.2,151000,2551,kivimaja,uus,2020,0,1,4
Suur-Karja 4 A,Vanalinn,6,279,650000,2330,kivimaja,vajab renoveerimist,-,-,5,2
Võidujooksu 7-38,Lasnamäe,2,40.6,109290,2692,kivimaja,uus,2020,0,2,7
Salme 6,Põhja-Tallinn,2,30.3,85000,2805,puitmaja,renoveeritud,-,-,1,2
Uus-Kalamaja 7,Põhja-Tallinn,2,45,87000,1933,puitmaja,heas korras,-,-,1,2
Päevalille 4-45,Haabersti,2,38.3,95900,2504,paneelmaja,uus,2020,0,6,15
Telliskivi 12,Põhja-Tallinn,1,19.7,42500,2157,palkmaja,vajab renoveerimist,1912,107,2,2
Videviku 15-3,Kesklinn,2,55.3,164000,2966,kivimaja,uus,2020,0,2,5
Vilde tee 56,Mustamäe,4,88.3,135000,1529,kivimaja,renoveeritud,1972,47,9,9
Võidujooksu 7-56,Lasnamäe,2,40.4,112290,2779,kivimaja,uus,2020,0,6,7
Ilmarise 21,Nõmme,4,83.4,120000,1439,kivimaja,-,-,-,2,6
Tartu mnt 65,Kesklinn,3,76.7,145000,1890,kivimaja,san. remont tehtud,1999,20,6,6
Raua 28-8,Kesklinn,2,60.4,196300,3250,-,-,2019,0,3,5
Vana-Kalamaja 8-5,Põhja-Tallinn,3,79.8,247000,3095,kivimaja,-,2019,0,2,5
Sitsi 14a-5,Põhja-Tallinn,2,50.2,145070,2890,kivimaja,uus,2020,0,3,3
Sanatooriumi 2a,Nõmme,2,42.8,110000,2570,kivimaja,heas korras,2009,10,2,3
Astangu 18-124,Haabersti,5,124.7,233900,1876,paneelmaja,uus,2019,0,5,5
Tina tn 21a,Kesklinn,4,117.6,295000,2509,-,-,1986,33,7,7
Poordi 3-16,Kesklinn,3,103.7,309000,2980,kivimaja,uus,2016,3,3,7
Tehnika tn 33,Kesklinn,4,99.2,214000,2157,kivimaja,-,2015,4,4,5
Järve 2-182,Kristiine,2,46.6,145800,3129,paneelmaja,uus,2020,0,12,18
Poordi 3-75,Kesklinn,3,85.6,359000,4194,-,uus,2017,2,6,6
Pae 68,Lasnamäe,3,102,135000,1324,kivimaja,renoveeritud,-,-,7,12
Vikerlase 8,Lasnamäe,,32.9,63500,1930,paneelmaja,renoveeritud,1980,39,8,9
K. Kärberi tn 50,Lasnamäe,2,49.5,69000,1394,kivimaja,-,1985,34,1,9
Räime 15,Haabersti,3,115,179000,1557,paneelmaja,heas korras,2007,12,3,3
Noole 2,Põhja-Tallinn,5,80,149900,1874,kivimaja,-,1935,84,3,3
Lasnamäe tn 6,Lasnamäe,3,66.7,150000,2249,paneelmaja,renoveeritud,-,-,8,9
Aiandi 5/2-2,Mustamäe,3,63.4,142590,2249,kivimaja,uus,2020,0,2,4
Kalaranna tn 8/4 -9,Põhja-Tallinn,2,52.9,195900,3703,paneelmaja,uus,-,-,2,5
Päevalille 4-46,Haabersti,3,58,136900,2360,paneelmaja,uus,2020,0,6,15
Tööstuse 47d,Põhja-Tallinn,2,77.9,240000,3081,kivimaja,uus,2019,0,4,5
Tina 21,Kesklinn,3,92,245000,2663,kivimaja,uus,2006,13,3,7
Sõpruse pst 243,Mustamäe,3,46.9,87500,1866,paneelmaja,-,1963,56,3,5
Päevalille 4-108,Mustamäe,2,38.3,114900,3000,paneelmaja,uus,2020,0,15,15
Puhangu 10,Põhja-Tallinn,1,16.2,37500,2315,paneelmaja,-,-,-,3,5
Tagala 10A-3,Haabersti,3,71,132000,1859,kivimaja,uus,2019,0,1,4
Tööstuse 77,Põhja-Tallinn,1,26.6,65000,2444,kivimaja,heas korras,1956,63,3,3
A. Weizenbergi tn 4,Kadriorg,4,142.5,405000,2842,puitmaja,renoveeritud,1918,101,3,3
Suur-Karja,Vanalinn,3,110,340000,3091,kivimaja,renoveeritud,-,-,2,5
Pärnu mnt 130-29,Kesklinn,2,53.2,117000,2199,kivimaja,renoveeritud,2008,11,6,8
Järve 2-220,Kristiine,2,58.1,180600,3108,paneelmaja,uus,2020,0,17,18
Villardi 20a,Kesklinn,,31,76000,2452,palkmaja,vajab renoveerimist,-,-,2,2
Narva mnt 40-405,Kesklinn,1,21,102000,4857,kivimaja,uus,1911,108,4,4
Jahu 5-2,Kesklinn,4,94.4,361900,3834,kivimaja,uus,2020,0,1,3
Tina 5/2,Kesklinn,2,37.2,124990,3360,puitmaja,-,1920,99,2,3
Õismäe tee 77,Haabersti,3,65.3,105000,1608,paneelmaja,renoveeritud,-,-,3,5
Soodi 4,Haabersti,3,77.2,212000,2746,kivimaja,uus,2020,0,5,5
Võidujooksu 7-7,Lasnamäe,2,40.5,106290,2624,kivimaja,uus,2020,0,2,7
Madala 16,Põhja-Tallinn,3,65.1,158000,2427,kivimaja,uus,2018,1,14,14
Mustamäe tee 175,Mustamäe,4,60.2,99000,1645,paneelmaja,-,1967,52,5,5
Peterburi tee 9,Lasnamäe,3,61.5,140000,2276,kivimaja,renoveeritud,-,-,3,3
Kopli 28a,Põhja-Tallinn,4,107.8,210000,1948,palkmaja,renoveeritud,1930,89,2,3
F.R.Faehlmanni,Kesklinn,3,78.3,225000,2874,puitmaja,renoveeritud,1923,96,3,3
Pille 9/1-B22,Kesklinn,1,35.7,109900,3078,paneelmaja,uus,2020,0,2,4
MASTI 1A-7,Pirita,4,91.4,296700,3246,paneelmaja,uus,2018,1,3,3
Lesta tn 10/3-41,Haabersti,3,82.8,331200,4000,paneelmaja,uus,2019,0,3,3
Järve 2-136,Kristiine,2,46.4,130300,2808,paneelmaja,uus,2019,0,5,18
Punane 67,Lasnamäe,1,33,64900,1967,paneelmaja,heas korras,-,-,1,5
Gonsiori 31a,Kesklinn,3,64.5,175000,2713,kivimaja,renoveeritud,1993,26,3,7
Tulika 6,Kristiine,1,27.8,65000,2338,puitmaja,renoveeritud,1936,83,1,2
Liikuri 50,Lasnamäe,1,37.1,69000,1860,kivimaja,renoveeritud,1989,30,5,9
Pae 68,Lasnamäe,3,102,143000,1402,kivimaja,heas korras,1985,34,7,12
Tagala 10B-50,Haabersti,3,71,135000,1901,kivimaja,uus,2019,0,3,4
Rahumäe tee 4,Kristiine,3,67.3,139000,2065,kivimaja,renoveeritud,1951,68,1,3
Narva mnt 2,Kesklinn,2,51.5,123000,2388,kivimaja,vajab renoveerimist,1948,71,3,7
Kadaka pst 142-61,Mustamäe,2,55.9,131900,2360,-,uus,2016,3,6,8
Valge tn 16-107,Lasnamäe,1,28.1,79000,2811,paneelmaja,uus,2019,0,5,5
Allika 6,Kesklinn,3,54.7,169900,3106,puitmaja,heas korras,1900,119,2,3
Paldiski mnt 175,Haabersti,2,46.7,70000,1499,paneelmaja,san. remont tehtud,1975,44,1,5
Paepargi 50/2-27,Lasnamäe,2,57.8,124000,2145,paneelmaja,uus,2020,0,6,8
Veerenni 36a/4-12,Kesklinn,4,118,339900,2881,paneelmaja,uus,2020,0,3,3
Läänemere tee 3,Lasnamäe,3,64.7,86990,1345,paneelmaja,-,-,-,5,9
Järve 2-139,Kristiine,2,58.4,158200,2709,paneelmaja,uus,2020,0,5,18
Tornimäe 7,Kesklinn,2,52.8,210000,3977,kivimaja,uus,2006,13,29,30
Lesta tn 10/1-13,Haabersti,5,129.8,506220,3900,paneelmaja,uus,2019,0,3,3
Katusepapi 23,Lasnamäe,1,32.6,71000,2178,kivimaja,renoveeritud,-,-,3,5
Astangu 50a/2,Haabersti,2,59.4,100900,1699,paneelmaja,heas korras,2008,11,1,5
Juurdeveo 22a-3,Kesklinn,5,126.8,310000,2445,-,uus,2017,2,2,2
J.Vilmsi tn 52,Kesklinn,1,13,39999,3077,puitmaja,keskmises seisukorras,-,-,1,2
Kuukressi tee 1-4,Pirita,3,66.2,167000,2523,paneelmaja,uus,2020,0,1,3
Padriku tee 11/1,Pirita,2,72.1,149000,2067,kivimaja,renoveeritud,2008,11,2,3
Vasara 6,Põhja-Tallinn,2,51,89000,1745,kivimaja,-,1955,64,1,3
Nafta 6,Kesklinn,6,93.4,185000,1981,kivimaja,renoveeritud,1966,53,1,5
Valdeku 8/3,Nõmme,3,73.8,164900,2234,puitmaja,heas korras,2006,13,1,2
Hansu 1/3-6,Haabersti,4,91.8,238000,2593,kivimaja,uus,2021,0,3,3
Lasnamäe tn 16,Kesklinn,4,104.3,283000,2713,kivimaja,uus,2019,0,5,6
Poordi 3-73,Kesklinn,3,117.9,499000,4232,-,uus,2017,2,6,6
Valge tn 16-48,Lasnamäe,2,40.4,107000,2649,kivimaja,uus,2019,0,3,5
Pöörise 7-25,Mustamäe,2,49.3,105000,2130,paneelmaja,uus,2020,0,5,12
Akadeemia tee 22,Mustamäe,3,56.6,89000,1572,paneelmaja,renoveeritud,1963,56,3,5
Sinimäe 11,Lasnamäe,3,65.4,95500,1460,paneelmaja,-,1991,28,7,17
Jõeküla tee 18/3-1,Haabersti,3,56.7,148000,2610,kivimaja,uus,2021,0,1,2
Remmelga 4-15,Nõmme,4,80.5,167900,2086,kivimaja,uus,2020,0,1,4
Läänemere tee 70,Lasnamäe,2,53,87900,1658,kivimaja,heas korras,2009,10,1,6
Tuukri 25-14,Kadriorg,2,47.3,174000,3679,kivimaja,uus,2021,0,3,5
Järve 2-159,Kristiine,3,65.2,188100,2885,paneelmaja,uus,2020,0,9,18
Poordi 3-7,Kesklinn,4,103.5,299000,2889,kivimaja,uus,2016,3,2,7
Puhangu 63,Põhja-Tallinn,2,42.9,79900,1862,paneelmaja,heas korras,1972,47,1,5
Paepargi 50/2,Lasnamäe,2,57.8,125500,2171,paneelmaja,uus,2020,0,4,8
Pille 9/4-B73,Kesklinn,2,54.7,152900,2795,paneelmaja,uus,2020,0,1,4
Vilde tee 86,Mustamäe,3,60.4,84500,1399,paneelmaja,vajab san. remonti,1967,52,3,5
Hagudi 22-18,Kesklinn,2,52.8,123000,2330,kivimaja,uus,2018,1,1,1
Vesivärava 18,Kadriorg,4,79,129990,1645,puitmaja,keskmises seisukorras,1906,113,1,2
Toom-Kuninga 15-71,Kesklinn,2,52.9,165000,3119,paneelmaja,uus,2020,0,3,8
Paadi 14a,Kesklinn,2,47.8,179000,3745,-,keskmises seisukorras,2003,16,3,6
Gonsiori 9-33,Pirita,1,44.4,237900,5358,kivimaja,uus,2021,0,6,7
Tartu mnt 52,Kesklinn,2,46.5,158000,3398,paneelmaja,-,2016,3,4,-
Sütiste tee 19a,Mustamäe,2,53,109000,2057,-,uus,2007,12,2,7
Pöörise 7-50,Mustamäe,2,45.4,102000,2247,paneelmaja,uus,2020,0,9,12
Räga tn,Haabersti,4,96.6,179100,1854,-,uus,2007,12,4,4
Pille 9/4-B87,Kesklinn,2,54.7,154900,2832,paneelmaja,uus,2020,0,3,4
Liikuri 8a,Lasnamäe,2,68.5,119000,1737,kivimaja,uus,2006,13,4,7
Kaarli pst 8,Kesklinn,3,88,330000,3750,kivimaja,renoveeritud,2004,15,3,8
Paldiski mnt 21-4,Kesklinn,3,96.7,259000,2678,paneelmaja,uus,2019,0,2,5
Gonsiori 9-1,Kesklinn,3,108.6,381900,3517,kivimaja,uus,-,-,2,7
Seebi tn 1-1901,Kesklinn,2,42.5,179900,4233,kivimaja,uus,2020,0,19,20
Kajaka 4,Kristiine,3,63.8,115000,1803,kivimaja,vajab san. remonti,1983,36,2,5
Lai tn 11,Vanalinn,4,126.5,310000,2451,kivimaja,vajab renoveerimist,1800,219,1,3
Nafta 6,Kesklinn,1,12.8,40000,3130,kivimaja,renoveeritud,1966,53,1,5
Aiandi 5/3-11,Mustamäe,3,54.2,137990,2546,kivimaja,uus,2020,0,3,8
Tagala 10-63,Haabersti,3,71,139000,1958,kivimaja,uus,2019,0,4,4
Linnamäe tee 87,Lasnamäe,2,49,94000,1918,paneelmaja,renoveeritud,1985,34,3,9
Gildi 5-9,Kesklinn,3,74,174000,2351,kivimaja,uus,2019,0,3,3
Veerenni 36a/3-7,Kesklinn,4,118,334900,2838,paneelmaja,uus,2020,0,1,3
Paepargi 50/1-20,Lasnamäe,3,56.5,135500,2398,paneelmaja,uus,2020,0,5,14
K. Kärberi 33,Lasnamäe,3,60.1,78000,1298,paneelmaja,vajab renoveerimist,1983,36,6,9
Valdeku 105,Nõmme,2,23.5,50250,2138,paneelmaja,-,1963,56,1,5
Raua 43,Kadriorg,4,80,119000,1488,puitmaja,keskmises seisukorras,-,-,1,3
Jahu 6-6/2-65,Põhja-Tallinn,2,48.1,170500,3545,paneelmaja,uus,2019,0,1,-
Paldiski maantee 24,Põhja-Tallinn,4,75,225000,3000,kivimaja,-,-,-,5,5
A.H. Tammsaare tee 89a-12,Mustamäe,1,31.9,98200,3078,-,uus,2019,0,3,6
Tildri 7-7,Kristiine,3,73.3,186000,2538,kivimaja,uus,2020,0,2,2
Võistluse 6-17,Kesklinna,2,48.1,149100,3100,kivimaja,uus,2019,0,5,14
Õismäe tee 52,Haabersti,3,68,95800,1409,paneelmaja,renoveeritud,1975,44,6,9
Staapli 3-63,Kesklinn,5,140,421000,3007,-,uus,2018,1,4,6
Kiili tn 20,Mustamäe,3,70,115000,1643,-,renoveeritud,1986,33,12,14
Idakaare 2a-4,Nõmme,4,99.5,358000,3598,kivimaja,uus,2020,0,2,3
J. Sütiste tee 36,Mustamäe,4,60.2,84900,1410,paneelmaja,renoveeritud,1969,50,5,5
Kentmanni 10,Kesklinn,3,90.3,300000,3322,kivimaja,heas korras,-,-,2,4
Kauba 7,Kesklinn,2,46,105000,2283,puitmaja,heas korras,1920,99,2,2
Võistluse 3-27,Kesklinn,3,70,226705,3239,kivimaja,uus,2020,0,6,6
Vabaduse pst 207,Nõmme,2,45,79000,1756,kivimaja,heas korras,1982,37,7,12
