street,district,rooms,area,price,price_m2,material,condition,year_built,age,floor,total_floors
Lai 12,Kesklinn,3,152.5,325000,2131,kivimaja,-,1660,359,1,3
Toom-Kuninga 15-15,Kesklinn,3,85.6,235000,2745,paneelmaja,uus,2020,0,3,8
Vabriku 19,Põhja-Tallinn,2,35,94000,2686,puitmaja,renoveeritud,1911,108,1,3
Kungla 28/1,Põhja-Tallinn,3,50.5,124990,2475,puitmaja,-,1934,85,1,3
Vormsi 8,Lasnamäe,2,54,81500,1509,paneelmaja,renoveeritud,-,-,5,5
Sakala 20,Kesklinn,2,61.3,249900,4077,-,-,2005,14,5,7
Rõugu 22-5,Haabersti,3,66.9,139900,2091,kivimaja,uus,2020,0,1,4
Merirahu 4,Haabersti,3,70.2,185000,2635,kivimaja,uus,2007,12,3,3
Paekaare 14,Lasnamäe,3,65.9,94200,1429,-,renoveeritud,1979,40,6,9
Kalaranna 8/2-12,Põhja-Tallinn,3,72.5,269000,3710,paneelmaja,uus,2020,0,2,5
Aiandi 8/1-44,Mustamäe,3,81.1,189990,2343,kivimaja,uus,2021,0,8,8
Pae 68,Lasnamäe,3,65.2,97000,1488,kivimaja,-,1985,34,12,14
Pirita tee,Kesklinn,3,147.7,580000,3927,kivimaja,uus,2008,11,10,12
Liikuri 18c-44,Lasnamäe,3,61.9,140290,2266,kivimaja,uus,2020,0,3,7
Tagala 10-41,Haabersti,3,66.8,123000,1841,kivimaja,uus,2019,0,2,4
Liikuri 18c-41,Lasnamäe,2,42.4,103790,2448,kivimaja,uus,2020,0,3,7
Lesta tn 10/3-41,Haabersti,3,82.8,331200,4000,paneelmaja,uus,2019,0,3,3
Võidujooksu 7-9,Lasnamäe,3,60.6,140290,2315,kivimaja,uus,2020,0,3,7
E.Vilde tee 68,Mustamäe,4,89,143000,1607,kivimaja,renoveeritud,1971,48,5,9
Vesivärava 50-79,Kadriorg,4,99.1,249000,2512,kivimaja,-,-,-,7,9
Poordi tn 3-63,Kesklinn,4,110.9,319000,2876,paneelmaja,uus,2017,2,4,6
Vesivärava 50-31,Kesklinn,2,84.7,205000,2420,-,uus,2019,0,5,9
J. Koorti tn 16,Lasnamäe,3,68.5,92000,1343,-,-,1986,33,8,14
Siidisaba 13/1,Kristiine,3,70.8,157000,2218,kivimaja,renoveeritud,2006,13,1,3
A. Weizenbergi tn 4,Kadriorg,4,142.5,405000,2842,puitmaja,renoveeritud,1918,101,3,3
Ümera 28b,Lasnamäe,1,34.7,65200,1879,paneelmaja,uus,2020,0,8,9
Jahu 5-46,Kesklinn,3,71.2,269900,3791,kivimaja,uus,2020,0,2,3
Järveotsa tee 45,Haabersti,1,33,57800,1752,paneelmaja,keskmises seisukorras,1977,42,1,9
Tuisu 4,Kristiine,1,27.1,73200,2701,kivimaja,renoveeritud,1964,55,4,4
Tornimäe 7,Kesklinn,2,48.4,165000,3409,-,renoveeritud,2006,13,9,30
Nõmme tee 19,Kristiine,2,40.2,82000,2040,kivimaja,renoveeritud,1980,39,9,9
Ümera 28b,Lasnamäe,2,45.6,87800,1925,paneelmaja,uus,2020,0,8,9
Toom-Kuninga 15-84,Kesklinn,2,53.5,195000,3645,paneelmaja,uus,2020,0,5,8
Keskuse 20,Mustamäe,2,45.3,75000,1656,paneelmaja,keskmises seisukorras,1964,55,2,5
Pae 23a,Lasnamäe,1,12,36990,3083,-,-,-,-,3,5
Seebi tn 1-1702,Kristiine,3,70,232900,3327,kivimaja,uus,2020,0,17,20
Astangu 58,Haabersti,1,31.4,53500,1704,paneelmaja,san. remont tehtud,-,-,4,5
Päevalille 4-71,Haabersti,2,39.6,112900,2851,paneelmaja,uus,2020,0,10,15
Juhkentali 42,Kesklinn,1,24.5,62900,2567,-,-,-,-,2,3
Pöörise 7-41,Mustamäe,2,45.4,99000,2181,paneelmaja,uus,2020,0,7,12
Fr. R. Faehlmanni 25,Kadriorg,3,61.6,165000,2679,palkmaja,uus,2019,0,1,3
Pirita tee 26f,Kesklinn,3,127.5,350000,2745,kivimaja,-,2003,16,12,16
Köleri 14-5,Kadriorg,2,67.7,188000,2777,puitmaja,uus,-,-,1,3
Suur-Karja 4,Kesklinn,5,270,650000,2407,kivimaja,-,1902,117,5,6
Pirita tee 28a,Kesklinn,3,155.4,495000,3185,kivimaja,heas korras,2008,11,4,11
